Sample_ID,ruralurban,Fusobacteria,Acidobacteria,Tenericutes,Firmicutes,Proteobacteria,Planctomycetes,Verrucomicrobia,Deinococcus_Thermus,Cyanobacteria_Chloroplast,Actinobacteria,Bacteroidetes,Euryarchaeota,Candidatus_Saccharibacteria,Lentisphaerae,Synergistetes
25A,rural,0,0,0,5.68733641428212,4.86404625707958,0,0,0,1.96598302539476,3.49651231897939,5.64035194411171,0,0,0,0
35A,rural,3.13835609167423,0,0,5.45435283402496,5.05907980260003,0,1.25952491218487,0,0,2.44064750048125,5.77742775913824,1.25952491218487,0,1.843285443905,0
091A,urban,3.18557530010829,0,0,5.75927569826693,4.00870003563858,0,3.12762381917354,0,1.81183100627813,2.77893167036783,5.61466839193429,0,0,0,0
29A,rural,1.96774835272436,0,0,5.39582927056731,4.6790576770855,0,1.21237773895396,0,1.7939896876136,2.76542357733305,5.84667890708095,1.49988323272597,0,1.88950164819377,1.67137108349798
28A,rural,0,0,0,5.47167790170255,4.17764792697975,0,1.14924489676938,0,0,2.6745214108797,5.8377153472938,0,0,0,0
099A,urban,5.33445098560143,0,0,5.59886845401754,4.01558520048375,0,0,0,0,3.57706560737941,5.57122111044689,0,1.76011087626037,0,2.19461530970314
20A,rural,2.81921294677017,1.05265618591906,1.05265618591906,5.61498836737261,4.55521147059524,0,1.05265618591906,0,1.33401193467818,4.15228362131683,5.73005358072294,0,0,0,0
084A,urban,2.60996593141734,0,0,5.75046546857835,5.00773523354459,0,2.21362221075115,0,0,2.65685313158985,5.52390742509871,0,0,0,2.06855511675699
086A,urban,1.79370851963118,0,0,5.7601201178276,4.51746368746336,0,2.05376395907742,0,1.49960651301215,2.7335956064638,5.59187557531182,0,1.04914224929222,0,0
15A,rural,0,0,0,5.682262695468,4.56060044174595,0,0,0,1.68162450013879,3.49123231627697,5.68066436154237,0,0,0.887636414519221,0
1A,rural,2.64534515655367,0,0,5.89596136520079,4.76494269483371,0,2.70932774916987,0,1.04221878667838,4.01294389617455,5.15670300516005,0,0,0,2.04622342676493
100A,urban,4.19595301086093,0,0,5.61505960375886,4.98297759192697,0,2.42629502972723,0,0,3.33985242593881,5.67534297544298,0,0,0,1.19784254977925
11A,rural,1.59610347067085,0,1.59610347067085,5.61600004367116,4.57751928217581,0,0,0,0,3.0766801244594,5.7386886535806,0,0,0,0
37A,rural,2.60886581535323,0,0,5.69636963503796,4.97053402136682,0,0,0,1.16168514016123,3.29821034032762,5.60810061415446,3.1878611201555,0,0,0
081A,urban,1.05667766275946,0,0,5.73525357033087,4.38341197289554,0,0,0,1.86781069740499,2.61988761246559,5.63503219058813,0,0,0,2.31989843813258
094A,urban,2.06320477576691,0,0,5.34146270609924,4.8288174808345,0,0,0,0,3.93382113003078,5.84779717068261,0,0,0,0
093A,urban,4.60306662025469,0,0,5.68464080645944,4.99300450695371,0,2.1285978107211,0,1.15673523520906,2.55792316994728,5.57659063530402,0,1.15673523520906,0,0
3A,rural,1.10328253949995,0,0,5.70027056631124,3.54341558264266,0,1.10328253949995,0,0.835207453646207,3.44979134333363,5.69210935077334,0,0,0,0
6A,rural,1.25224438485865,0,0,5.72133479305128,4.80834469345555,0,0,0,0,2.58056685716231,5.61157856931954,0,0,0,0
098A,urban,0,0,0,5.74651157586633,4.51739200235909,0,4.00381837277836,0,0,3.02239321446392,5.59983610847151,0,0,2.17748635558461,0
085A,urban,0,0,0,5.45139027852889,4.35192176913004,0,4.38993611044272,0,0,3.02244685365952,5.82542065598002,0,0,0,2.2774394437857
119A,urban,2.16212914509051,0,0,5.62556255855368,5.51919323062058,0,0,0,0,3.86505188834305,5.3797443260563,0,0,0,1.47495699098194
082A,urban,0,0,0,5.75274529491472,4.48134974709111,0,2.8029042075286,0,1.31844866045935,2.73719879055341,5.60485580479399,0,1.31844866045935,0,0
21A,rural,1.29663797541744,0,0,5.6711020143259,4.41684806451465,0,0.86131052088659,0,0,3.51977309779469,5.69995218654605,2.51434205939206,0,1.88192668501006,2.00543813536613
120A,urban,4.16440359955561,0,0,5.65371925889433,4.62612046787844,0,1.71732713811205,0,0,3.07849837737559,5.69138196625995,0,0,0,1.05044739410044
7A,rural,0,0,0,5.87213509123287,4.06568551966125,0,0,0,0,2.85743654204187,5.38500233380849,0,1.29580940387105,0,0.860558035303508
083A,urban,2.46505880063416,0,0,5.58257333925048,4.77593382765181,0,0,0,1.1716320282129,3.84470201067308,5.74078477099254,0,0,0,1.45778418083847
10A,rural,2.4936859790647,0,0,5.82928401129521,3.95969933892301,0,3.09015565478627,0,1.14439714010681,4.30772335148056,5.46843147968415,0,0,0,0
101A,urban,2.80120602972919,0,0,5.62108346799464,4.6615384166909,0,0,0,3.13594655528567,3.99742107346572,5.71956596919977,0,0,0,0
116A,urban,3.96384576318204,0,0,5.70058964052561,4.55138943155552,0,0,0,1.26695867423628,3.55149922653719,5.65289896690436,0,0,0,1.94672058449502
24A,rural,2.10696464160797,0,0,5.79488624148691,3.94496523074204,0,4.82115031347947,0,1.88737324378281,3.23414360625954,5.47628585197285,0,0,0,1.59193582263659
39A,rural,2.2137817670165,0,0,5.74197022486001,4.65530356486112,0,2.3101605310101,0,0,3.21138601214178,5.6027754746995,0,0,0,1.98159059155639
118A,urban,1.13389436168147,0,0,5.74038090538687,3.76734638925938,0,0,0,0,2.18279578426899,5.64733485043753,0,1.13389436168147,0,0
109A,urban,4.2269250520241,0,0,5.63922741242589,4.71029961733555,0,2.2493487207115,0,1.19627169872739,3.58778264402759,5.69198183021137,0,0,0,0
108A,urban,2.96489335597427,0,0,5.43139298119302,5.39587587900806,0,1.1342141953285,0,0,2.6335891803985,5.68086102531655,0,0,0,2.35827935917234
34A,rural,0,0,0,5.82035370247666,3.89917144229993,0,0,0,1.52865144413512,4.80999995968392,5.42522055275296,0,0,0,1.59375765336856
18A,rural,3.57326988642305,0,0,5.66813975910165,4.55673474908171,1.32805695127208,3.29638164043428,1.04696668905934,1.32805695127208,3.14631676240629,5.69111728047173,0,0,0,1.32805695127208
107A,urban,1.46203167883867,0,0,5.45885773310054,5.59376000780463,0,0,0,1.1757371556101,2.32390484661972,5.50471220966372,0,0,0,0
31A,rural,0,0,0,5.57785685920487,4.0667772733294,0,1.4878131883619,0,0,2.57153034976229,5.78486944481437,2.17533404634473,0,0,2.07914851597426
13A,rural,4.19043746964899,0,0,5.66267915278563,4.1725772900101,0,0,0,0,3.33423161787605,5.70547586794079,0,0,0,0
